name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Sergio Agüero,Centre-Forward,33,18000000,England,Premier League,Manchester City,Spain,LaLiga,FC Barcelona,free transfer
William Saliba,Centre-Back,20,18000000,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,loan transfer
Willian José,Centre-Forward,29,18000000,Spain,LaLiga,Real Sociedad,Spain,LaLiga,Real Betis Balompié,loan transfer
Yangel Herrera,Central Midfield,23,18000000,England,Premier League,Manchester City,Spain,LaLiga,RCD Espanyol Barcelona,loan transfer
Diego Rossi,Left Winger,23,18000000,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce SK,loan transfer
Albert Sambi Lokonga,Central Midfield,21,12000000,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Arsenal FC,17000000
Eldor Shomurodov,Centre-Forward,26,7000000,Italy,Serie A,Genoa CFC,Italy,Serie A,AS Roma,17000000
Roman Yaremchuk,Centre-Forward,25,17000000,Belgium,Jupiler Pro League,KAA Gent,Portugal,Liga Bwin,SL Benfica,17000000
Loïc Badé,Centre-Back,21,12000000,France,Ligue 1,RC Lens,France,Ligue 1,Stade Rennais FC,17000000
Myron Boadu,Centre-Forward,20,14000000,Netherlands,Eredivisie,AZ Alkmaar,Monaco,Ligue 1,AS Monaco,17000000
Odsonne Edouard,Centre-Forward,23,17000000,Scotland,Premiership,Celtic FC,England,Premier League,Crystal Palace,16000000
Harry Wilson,Right Winger,24,17000000,England,Premier League,Liverpool FC,England,Championship,Fulham FC,14000000
Gonzalo Montiel,Right-Back,24,17000000,Argentina,Liga Profesional,Club Atlético River Plate,Spain,LaLiga,Sevilla FC,11000000
Alphonse Areola,Goalkeeper,28,17000000,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,2000000
Florian Thauvin,Right Winger,28,17000000,France,Ligue 1,Olympique Marseille,Mexico,Liga MX Apertura,Tigres UANL,free transfer
Rafael Borré,Centre-Forward,25,17000000,Argentina,Liga Profesional,Club Atlético River Plate,Germany,Bundesliga,Eintracht Frankfurt,free transfer
Pierluigi Gollini,Goalkeeper,26,17000000,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,loan transfer
Teun Koopmeiners,Defensive Midfield,23,16000000,Netherlands,Eredivisie,AZ Alkmaar,Italy,Serie A,Atalanta BC,12000000
Zinho Vanheusden,Centre-Back,21,12000000,Belgium,Jupiler Pro League,Standard Liège,Italy,Serie A,Inter Milan,16000000
Rafa Mir,Centre-Forward,24,12000000,England,Premier League,Wolverhampton Wanderers,Spain,LaLiga,Sevilla FC,16000000
Denzel Dumfries,Right Midfield,25,16000000,Netherlands,Eredivisie,PSV Eindhoven,Italy,Serie A,Inter Milan,12000000
Andy Delort,Centre-Forward,29,16000000,France,Ligue 1,Montpellier HSC,France,Ligue 1,OGC Nice,10000000
Alexander Sörloth,Centre-Forward,25,16000000,Germany,Bundesliga,RB Leipzig,Spain,LaLiga,Real Sociedad,2000000
Erik Lamela,Right Winger,29,16000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Sevilla FC,free transfer
Kristoffer Ajer,Centre-Back,23,7000000,Scotland,Premiership,Celtic FC,England,Premier League,Brentford FC,15000000
Arnaut Danjuma,Left Winger,24,15000000,England,Championship,AFC Bournemouth,Spain,LaLiga,Villarreal CF,23000000
Pepê,Left Winger,24,13000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Portugal,Liga Bwin,FC Porto,15000000
Benjamin Henrichs,Right-Back,24,12000000,Monaco,Ligue 1,AS Monaco,Germany,Bundesliga,RB Leipzig,15000000
Gregor Kobel,Goalkeeper,23,13000000,Germany,Bundesliga,VfB Stuttgart,Germany,Bundesliga,Borussia Dortmund,15000000
Juan Foyth,Centre-Back,23,12000000,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,15000000
Junior Firpo,Left-Back,24,8000000,Spain,LaLiga,FC Barcelona,England,Premier League,Leeds United,15000000
Calvin Stengs,Right Winger,22,14000000,Netherlands,Eredivisie,AZ Alkmaar,France,Ligue 1,OGC Nice,15000000
Kamaldeen Sulemana,Left Winger,19,9000000,Denmark,Superligaen,FC Nordsjaelland,France,Ligue 1,Stade Rennais FC,15000000
Maxwel Cornet,Left-Back,24,12000000,France,Ligue 1,Olympique Lyon,England,Premier League,Burnley FC,15000000
Gaëtan Laborde,Centre-Forward,27,15000000,France,Ligue 1,Montpellier HSC,France,Ligue 1,Stade Rennais FC,15000000
Baptiste Santamaria,Defensive Midfield,26,15000000,Germany,Bundesliga,SC Freiburg,France,Ligue 1,Stade Rennais FC,14000000
Jack Harrison,Left Winger,24,15000000,England,Premier League,Manchester City,England,Premier League,Leeds United,12000000
Luca Waldschmidt,Second Striker,25,15000000,Portugal,Liga Bwin,SL Benfica,Germany,Bundesliga,VfL Wolfsburg,12000000
Razvan Marin,Central Midfield,25,15000000,Netherlands,Eredivisie,Ajax Amsterdam,Italy,Serie A,Cagliari Calcio,10000000
Michael Olise,Attacking Midfield,19,15000000,England,Championship,Reading FC,England,Premier League,Crystal Palace,9000000
Thomas Delaney,Defensive Midfield,29,15000000,Germany,Bundesliga,Borussia Dortmund,Spain,LaLiga,Sevilla FC,6000000
Carles Aleñá,Central Midfield,23,15000000,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Getafe CF,5000000
Grzegorz Krychowiak,Defensive Midfield,31,15000000,Russia,Premier Liga,Lokomotiv Moscow,Russia,Premier Liga,FK Krasnodar,4000000
Brahim Díaz,Attacking Midfield,21,15000000,Spain,LaLiga,Real Madrid,Italy,Serie A,AC Milan,3000000
Marko Grujic,Defensive Midfield,25,15000000,England,Premier League,Liverpool FC,Portugal,Liga Bwin,FC Porto,1000000
Mattia Zaccagni,Attacking Midfield,26,15000000,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,200000
Conor Gallagher,Central Midfield,21,15000000,England,Premier League 2,Chelsea FC U23,England,Premier League,Crystal Palace,loan transfer
Takefusa Kubo,Right Winger,20,15000000,Spain,LaLiga,Real Madrid,Spain,LaLiga,RCD Mallorca,loan transfer
Matheus Henrique,Central Midfield,23,15000000,Brazil,Série A,Grêmio Foot-Ball Porto Alegrense,Italy,Serie A,US Sassuolo,loan transfer
Ethan Ampadu,Centre-Back,20,15000000,England,Premier League,Chelsea FC,Italy,Serie A,Venezia FC,loan transfer
Nathan Collins,Centre-Back,20,8000000,England,Championship,Stoke City,England,Premier League,Burnley FC,14000000
Boulaye Dia,Centre-Forward,24,14000000,France,Ligue 1,Stade Reims,Spain,LaLiga,Villarreal CF,12000000
Kayky,Right Winger,18,14000000,Brazil,Série A,Fluminense Football Club,England,Premier League,Manchester City,10000000
Antonin Barak,Attacking Midfield,26,14000000,Italy,Serie A,Udinese Calcio,Italy,Serie A,Hellas Verona,6000000
Emerson,Left-Back,27,14000000,England,Premier League,Chelsea FC,France,Ligue 1,Olympique Lyon,500000
Justin Kluivert,Left Winger,22,14000000,Italy,Serie A,AS Roma,France,Ligue 1,OGC Nice,loan transfer
Sebastiaan Bornauw,Centre-Back,22,12000000,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,VfL Wolfsburg,13000000
Toby Alderweireld,Centre-Back,32,11000000,England,Premier League,Tottenham Hotspur,Qatar,Stars League,Al-Duhail SC,13000000
Matías Viña,Left-Back,23,5000000,Brazil,Série A,Sociedade Esportiva Palmeiras,Italy,Serie A,AS Roma,13000000
Lovro Majer,Attacking Midfield,23,13000000,Croatia,1.HNL,GNK Dinamo Zagreb,France,Ligue 1,Stade Rennais FC,12000000
Mathias Normann,Defensive Midfield,25,13000000,Russia,Premier Liga,FK Rostov,England,Premier League,Norwich City,2000000
Alessandro Florenzi,Right-Back,30,13000000,Italy,Serie A,AS Roma,Italy,Serie A,AC Milan,1000000
Elseid Hysaj,Right-Back,27,13000000,Italy,Serie A,SSC Napoli,Italy,Serie A,SS Lazio,free transfer
Wesley,Centre-Forward,24,13000000,England,Premier League,Aston Villa,Belgium,Jupiler Pro League,Club Brugge KV,loan transfer
